               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.032018,            0.024765,           0.0010919,             0.75577,              0.7151,             0.76882,             0.54163,             0.03303,            0.011967,          0.00069155,           0.0090298,           0.0090298,           0.0090298
                  51,            0.031993,            0.024798,           0.0010925,             0.75509,             0.71628,             0.76942,             0.54296,            0.032983,            0.011955,          0.00068448,             0.00901,             0.00901,             0.00901
                  52,            0.031943,            0.024701,           0.0010927,             0.75484,             0.71887,             0.77083,             0.54395,             0.03293,            0.011946,          0.00068276,           0.0089902,           0.0089902,           0.0089902
                  53,            0.031812,            0.024742,           0.0010885,             0.75726,             0.71894,             0.77198,             0.54489,            0.032891,            0.011935,           0.0006766,           0.0089704,           0.0089704,           0.0089704
                  54,            0.031909,            0.024676,           0.0011026,             0.75985,             0.71715,             0.77241,             0.54576,            0.032851,            0.011925,          0.00067517,           0.0089506,           0.0089506,           0.0089506
                  55,            0.031692,            0.024447,           0.0010758,             0.75998,             0.71781,             0.77316,             0.54689,            0.032827,            0.011918,          0.00067582,           0.0089308,           0.0089308,           0.0089308
                  56,            0.031662,            0.024554,           0.0010605,             0.75913,             0.72115,             0.77356,             0.54746,             0.03279,            0.011912,          0.00067641,            0.008911,            0.008911,            0.008911
                  57,             0.03163,             0.02455,           0.0010637,             0.75917,             0.72071,             0.77454,             0.54806,            0.032757,            0.011909,          0.00067355,           0.0088912,           0.0088912,           0.0088912
                  58,            0.031427,            0.024507,           0.0010652,             0.76169,             0.71802,             0.77485,             0.54864,             0.03271,            0.011904,          0.00067316,           0.0088714,           0.0088714,           0.0088714
                  59,            0.031424,             0.02435,           0.0010532,             0.76438,             0.71696,             0.77559,             0.54941,            0.032662,            0.011896,          0.00067244,           0.0088516,           0.0088516,           0.0088516
                  60,            0.031343,            0.024465,           0.0010644,             0.76179,             0.72054,             0.77625,             0.55014,            0.032626,             0.01189,          0.00066662,           0.0088318,           0.0088318,           0.0088318
